File: orderservice
Build ID: 556c5df50ff62ad34c39489c0203282d1f28020e
Type: inuse_space
Time: 2026-04-06 15:06:24 CEST
Showing nodes accounting for -1.38MB, 15.21% of 9.04MB total
      flat  flat%   sum%        cum   cum%
      -2MB 22.17% 22.17%       -2MB 22.17%  runtime.allocm
    1.16MB 12.79%  9.37%     1.16MB 12.79%  runtime/pprof.StartCPUProfile
   -0.52MB  5.71% 15.08%    -0.52MB  5.71%  regexp.(*bitState).reset
   -0.51MB  5.66% 20.74%    -0.51MB  5.66%  reflect.growslice
   -0.50MB  5.54% 26.28%    -0.50MB  5.54%  regexp/syntax.(*compiler).inst (inline)
    0.50MB  5.54% 20.74%     0.50MB  5.54%  github.com/jackc/pgx/v5/pgproto3.NewFrontend
   -0.50MB  5.53% 26.28%    -0.02MB  0.18%  orderservice/internal/service.(*orderService).AddNewOrder
    0.50MB  5.53% 20.74%     0.50MB  5.53%  runtime.malg
    0.50MB  5.53% 15.21%     0.50MB  5.53%  context.(*cancelCtx).Done
   -0.50MB  5.53% 20.74%    -0.50MB  5.53%  runtime.(*scavengerState).init
    0.50MB  5.53% 15.21%     0.50MB  5.53%  github.com/go-playground/validator.(*Validate).extractStructCache
   -0.50MB  5.53% 20.74%    -0.50MB  5.53%  github.com/segmentio/kafka-go/protocol.structDecodeFuncOf
    0.50MB  5.53% 15.21%     0.50MB  5.53%  github.com/jackc/pgx/v5/pgtype.scanPlanString.Scan
         0     0% 15.21%     0.50MB  5.54%  database/sql.(*DB).Ping
         0     0% 15.21%     0.50MB  5.54%  database/sql.(*DB).PingContext
         0     0% 15.21%     0.50MB  5.54%  database/sql.(*DB).PingContext.func1
         0     0% 15.21%     0.50MB  5.54%  database/sql.(*DB).conn
         0     0% 15.21%     0.50MB  5.53%  database/sql.(*DB).connectionOpener
         0     0% 15.21%     0.50MB  5.54%  database/sql.(*DB).retry
         0     0% 15.21%     0.50MB  5.53%  database/sql.(*Rows).Next
         0     0% 15.21%     0.50MB  5.53%  database/sql.(*Rows).Next.func1
         0     0% 15.21%     0.50MB  5.53%  database/sql.(*Rows).nextLocked
         0     0% 15.21%     0.50MB  5.53%  database/sql.withLock
         0     0% 15.21%    -0.51MB  5.66%  encoding/json.(*decodeState).array
         0     0% 15.21%    -0.51MB  5.66%  encoding/json.(*decodeState).object
         0     0% 15.21%    -0.51MB  5.66%  encoding/json.(*decodeState).unmarshal
         0     0% 15.21%    -0.51MB  5.66%  encoding/json.(*decodeState).value
         0     0% 15.21%    -0.51MB  5.66%  encoding/json.Unmarshal
