File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-15 17:14:09 CEST
Duration: 60.07s, Total samples = 8.38s (13.95%)
Showing nodes accounting for 6.35s, 75.78% of 8.38s total
Dropped 438 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
     2.36s 28.16% 28.16%      2.36s 28.16%  internal/runtime/syscall.Syscall6
     1.06s 12.65% 40.81%      1.06s 12.65%  runtime.nanotime (inline)
     0.54s  6.44% 47.26%      0.54s  6.44%  runtime.futex
     0.47s  5.61% 52.86%      0.47s  5.61%  time.runtimeNow
     0.23s  2.74% 55.61%      0.23s  2.74%  runtime.memclrNoHeapPointers
     0.13s  1.55% 57.16%      0.13s  1.55%  runtime.usleep
     0.06s  0.72% 57.88%      0.32s  3.82%  encoding/json.(*decodeState).object
     0.05s   0.6% 58.47%      0.07s  0.84%  encoding/json.checkValid
     0.05s   0.6% 59.07%      0.87s 10.38%  orderservice/internal/kafka.EmulateMsgSending.func2
     0.05s   0.6% 59.67%      0.06s  0.72%  runtime.findObject
     0.05s   0.6% 60.26%      0.07s  0.84%  runtime.mallocgcTiny
     0.05s   0.6% 60.86%      0.05s   0.6%  runtime.memmove
     0.05s   0.6% 61.46%      0.05s   0.6%  runtime.nextFreeFast (inline)
     0.05s   0.6% 62.05%      0.05s   0.6%  runtime.procyield
     0.05s   0.6% 62.65%      0.19s  2.27%  runtime.scanobject
     0.05s   0.6% 63.25%      0.14s  1.67%  runtime.selectgo
     0.04s  0.48% 63.72%      0.13s  1.55%  gorm.io/gorm/callbacks.ConvertToCreateValues
     0.04s  0.48% 64.20%      0.26s  3.10%  runtime.stealWork
     0.03s  0.36% 64.56%      0.07s  0.84%  encoding/json.(*decodeState).rescanLiteral
     0.03s  0.36% 64.92%      0.09s  1.07%  gorm.io/gorm.(*Statement).AddVar
     0.03s  0.36% 65.27%      0.09s  1.07%  runtime.mapaccess1_faststr
