File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-13 15:41:41 CEST
Duration: 120.07s, Total samples = 30.45s (25.36%)
Showing nodes accounting for -17.12s, 56.22% of 30.45s total
Dropped 814 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
    -7.21s 23.68% 23.68%     -7.21s 23.68%  internal/runtime/syscall.Syscall6
    -1.62s  5.32% 29.00%     -1.62s  5.32%  runtime.nanotime (inline)
    -1.51s  4.96% 33.96%     -1.51s  4.96%  runtime.futex
    -1.08s  3.55% 37.50%     -1.08s  3.55%  time.runtimeNow
    -0.42s  1.38% 38.88%     -0.42s  1.38%  runtime.nextFreeFast (inline)
    -0.35s  1.15% 40.03%     -0.78s  2.56%  runtime.scanobject
    -0.27s  0.89% 40.92%     -0.28s  0.92%  runtime.(*mspan).writeHeapBitsSmall
    -0.25s  0.82% 41.74%     -0.25s  0.82%  runtime.usleep
    -0.21s  0.69% 42.43%     -0.21s  0.69%  runtime.memclrNoHeapPointers
    -0.21s  0.69% 43.12%     -0.66s  2.17%  runtime.stealWork
    -0.16s  0.53% 43.65%     -1.33s  4.37%  runtime.mallocgcSmallScanNoHeader
    -0.16s  0.53% 44.17%     -0.96s  3.15%  runtime.newobject
    -0.15s  0.49% 44.66%     -0.15s  0.49%  runtime.memmove
    -0.13s  0.43% 45.09%     -0.21s  0.69%  runtime.findObject
    -0.13s  0.43% 45.52%     -0.13s  0.43%  runtime.write1
    -0.11s  0.36% 45.88%     -0.35s  1.15%  gorm.io/gorm.(*Statement).AddClause
    -0.10s  0.33% 46.21%     -4.20s 13.79%  runtime.findRunnable
    -0.09s   0.3% 46.50%     -0.27s  0.89%  database/sql.convertAssignRows
    -0.09s   0.3% 46.80%     -0.19s  0.62%  gorm.io/gorm.(*Statement).BuildCondition
    -0.09s   0.3% 47.09%     -0.26s  0.85%  gorm.io/gorm.(*Statement).SelectAndOmitColumns
    -0.09s   0.3% 47.39%     -0.36s  1.18%  gorm.io/gorm.(*Statement).clone
    -0.09s   0.3% 47.68%     -0.64s  2.10%  gorm.io/gorm/clause.Clause.Build
    -0.09s   0.3% 47.98%     -0.13s  0.43%  reflect.StructTag.Lookup
    -0.09s   0.3% 48.28%     -1.69s  5.55%  runtime.mallocgc
    -0.09s   0.3% 48.57%     -0.28s  0.92%  runtime.mapaccess2_faststr
    -0.08s  0.26% 48.83%     -1.72s  5.65%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).Receive
    -0.08s  0.26% 49.10%     -4.71s 15.47%  gorm.io/gorm/callbacks.RegisterDefaultCallbacks.SaveAfterAssociations.func4
    -0.07s  0.23% 49.33%     -0.36s  1.18%  github.com/go-playground/validator.(*Validate).parseFieldTagsRecursive
    -0.07s  0.23% 49.56%     -0.24s  0.79%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).Build
