File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-05 16:44:04 CEST
Duration: 120.17s, Total samples = 36.02s (29.97%)
Showing nodes accounting for -21.60s, 59.97% of 36.02s total
Dropped 950 nodes (cum <= 0.18s)
      flat  flat%   sum%        cum   cum%
    -5.53s 15.35% 15.35%     -5.53s 15.35%  internal/runtime/syscall.Syscall6
    -1.64s  4.55% 19.91%     -1.64s  4.55%  runtime.nanotime (inline)
    -1.54s  4.28% 24.18%     -1.54s  4.28%  runtime.futex
    -1.25s  3.47% 27.65%     -2.73s  7.58%  runtime.scanobject
    -0.98s  2.72% 30.37%     -0.98s  2.72%  time.runtimeNow
    -0.47s  1.30% 31.68%     -0.47s  1.30%  runtime.nextFreeFast (inline)
    -0.44s  1.22% 32.90%     -0.44s  1.22%  aeshashbody
    -0.43s  1.19% 34.09%     -0.85s  2.36%  github.com/go-faker/faker/v4.(*safeSource).Int63
    -0.42s  1.17% 35.26%     -0.67s  1.86%  runtime.findObject
    -0.40s  1.11% 36.37%     -0.40s  1.11%  runtime.usleep
    -0.35s  0.97% 37.34%     -0.76s  2.11%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
    -0.32s  0.89% 38.23%     -0.32s  0.89%  runtime.memclrNoHeapPointers
    -0.32s  0.89% 39.12%     -0.32s  0.89%  runtime.memmove
    -0.29s  0.81% 39.92%     -1.18s  3.28%  math/rand.(*Rand).Int31n
    -0.28s  0.78% 40.70%     -0.30s  0.83%  runtime.(*mspan).writeHeapBitsSmall
    -0.28s  0.78% 41.48%     -1.76s  4.89%  runtime.mallocgcSmallScanNoHeader
    -0.25s  0.69% 42.17%     -1.11s  3.08%  runtime.mapaccess2_faststr
    -0.23s  0.64% 42.81%     -0.24s  0.67%  runtime.spanOf (inline)
    -0.21s  0.58% 43.39%     -0.22s  0.61%  math/rand.(*rngSource).Uint64 (inline)
    -0.21s  0.58% 43.98%     -0.84s  2.33%  runtime.stealWork
    -0.21s  0.58% 44.56%     -0.21s  0.58%  runtime.typePointers.nextFast (inline)
    -0.18s   0.5% 45.06%     -1.76s  4.89%  github.com/go-faker/faker/v4.decodeTags
    -0.18s   0.5% 45.56%     -0.17s  0.47%  internal/sync.(*Mutex).Unlock (inline)
    -0.17s  0.47% 46.03%     -2.39s  6.64%  runtime.mallocgc
